id,web_image,art_image
@version,v1.0.0,
@back,print/通用卡背.svg,
@overview,,
春秋战国-1-1,,
春秋战国-1-2,,
春秋战国-1-3,,
春秋战国-2-1,,
春秋战国-2-2,,
春秋战国-2-3,,
春秋战国-3-1,,
春秋战国-3-2,,
春秋战国-4-1,,
秦-1-1,,
秦-1-2,,
秦-1-3,,
秦-2-1,,
秦-2-2,,
秦-2-3,,
秦-3-1,,
秦-3-2,,
秦-4-1,,
汉-1-1,,
汉-1-2,,
汉-1-3,,
汉-2-1,,
汉-2-2,,
汉-2-3,,
汉-3-1,,
汉-3-2,,
汉-4-1,,
三国-1-1,,
三国-1-2,,
三国-1-3,,
三国-2-1,,
三国-2-2,,
三国-2-3,,
三国-3-1,,
三国-3-2,,
三国-4-1,,
唐-1-1,,
唐-1-2,,
唐-1-3,,
唐-2-1,,
唐-2-2,,
唐-2-3,,
唐-3-1,,
唐-3-2,,
唐-4-1,,
宋-1-1,,
宋-1-2,,
宋-1-3,,
宋-2-1,,
宋-2-2,,
宋-2-3,,
宋-3-1,,
宋-3-2,,
宋-4-1,,
元-1-1,,
元-1-2,,
元-1-3,,
元-2-1,,
元-2-2,,
元-2-3,,
元-3-1,,
元-3-2,,
元-4-1,,
明-1-1,,
明-1-2,,
明-1-3,,
明-2-1,,
明-2-2,,
明-2-3,,
明-3-1,,
明-3-2,,
明-4-1,,
民国-1-1,,
民国-1-2,,
民国-1-3,,
民国-2-1,,
民国-2-2,,
民国-2-3,,
民国-3-1,,
民国-3-2,,
民国-4-1,,
